title,link
Разнообразие браузеров начинается с нас,https://habr.com/post/432440/
Особенности работы в интернациональной команде. Индия,https://habr.com/company/parallels/blog/432442/
Изучаем азотные лазеры — часть 1. Лазеры поперечного разряда,https://habr.com/post/432464/
Разработчики марсохода следующего поколения используют ИИ для увеличения эффективности ровера,https://habr.com/post/432434/
Аналитики UBS: к 2030 году выручка подразделения Alphabet по разработке беспилотных машин составит $114 млрд,https://habr.com/company/iticapital/blog/432476/
Российская компания вместо лечения зашифрованных вирусом файлов платит злоумышленникам,https://habr.com/post/432468/
Опыт DonorSearch в привлечении молодежи на сдачу крови посредством геотаргетинга ВКонтакте,https://habr.com/company/donorsearch/blog/432448/
Стажер Google по ошибке запустил рекламную кампанию желтого прямоугольника с бюджетом около $10 млн,https://habr.com/post/432482/
"Конференция DEFCON 18. Вы потратили все эти деньги, но вас продолжают «иметь». Часть 1",https://habr.com/company/ua-hosting/blog/432456/
Впервые за 5 лет в странах с развитой экономикой выбросы углерода увеличатся в 2018-м году,https://habr.com/post/432470/
Централизованная шина vs Service Mesh: как митап превратить в баттл,https://habr.com/company/psb/blog/432428/
"Дональд Кнут: «3:16» — книга про Библию (72,73,74/97)",https://habr.com/company/edison/blog/432478/
ИТ-гигант хочет доказать квантовое превосходство уже в следующем году — что может пойти не так,https://habr.com/company/it-grad/blog/432472/
"Берегитесь хитроумного мошенничества с Touch ID, проникшего в App Store",https://habr.com/post/432436/
title,link
Разнообразие браузеров начинается с нас,https://habr.com/post/432440/
Особенности работы в интернациональной команде. Индия,https://habr.com/company/parallels/blog/432442/
Изучаем азотные лазеры — часть 1. Лазеры поперечного разряда,https://habr.com/post/432464/
Разработчики марсохода следующего поколения используют ИИ для увеличения эффективности ровера,https://habr.com/post/432434/
Аналитики UBS: к 2030 году выручка подразделения Alphabet по разработке беспилотных машин составит $114 млрд,https://habr.com/company/iticapital/blog/432476/
Российская компания вместо лечения зашифрованных вирусом файлов платит злоумышленникам,https://habr.com/post/432468/
Опыт DonorSearch в привлечении молодежи на сдачу крови посредством геотаргетинга ВКонтакте,https://habr.com/company/donorsearch/blog/432448/
Стажер Google по ошибке запустил рекламную кампанию желтого прямоугольника с бюджетом около $10 млн,https://habr.com/post/432482/
"Конференция DEFCON 18. Вы потратили все эти деньги, но вас продолжают «иметь». Часть 1",https://habr.com/company/ua-hosting/blog/432456/
Впервые за 5 лет в странах с развитой экономикой выбросы углерода увеличатся в 2018-м году,https://habr.com/post/432470/
Централизованная шина vs Service Mesh: как митап превратить в баттл,https://habr.com/company/psb/blog/432428/
"Дональд Кнут: «3:16» — книга про Библию (72,73,74/97)",https://habr.com/company/edison/blog/432478/
ИТ-гигант хочет доказать квантовое превосходство уже в следующем году — что может пойти не так,https://habr.com/company/it-grad/blog/432472/
"Берегитесь хитроумного мошенничества с Touch ID, проникшего в App Store",https://habr.com/post/432436/
